用户层级,测评维度,指标含义,测评子维度,问题编号,问题,相关性,计分规则
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,冲突管理,C28,我会尽量回避使自己不愉快的冲突情景,A23,反，6-得分
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,数据决策,C29,能够用简单的可视化的方式向团队呈现数据，帮助大家理解现状,,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,数据决策,C30,当直觉或经验与数据呈现结果不一致时，会深入探究差异原因,A02,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,数据决策,C31,能够用过往的成功或失败的经验来帮助解读数据背后的深层原因,A01,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,数据决策,C32,在时间紧迫、数据不全的情况下，能够基于经验快速决策的同时，标明其中的假设和风险,A17,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,管理效能,C33,当团队意见分歧时，能够引导大家查看相关数据，用事实而非职位高低来推动共识,A07,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,管理效能,C34,鼓励团队成员分享基于数据的见解，即使这些见解挑战了自己原有的想法,A15,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,管理效能,C35,善用工具来减少重复性沟通、简化审批或信息收集的流程,,
中层,科学决策,衡量管理者能否结合数据与经验进行决策，善用可视化和工具推动团队共识与效率，并在不确定性下做出理性判断与持续优化 ,管理效能,C36,引入新工具时，会先试用并制定简单的使用规则，以降低团队的学习成本,A09,
中层,开放式问题,,,C37,您认为他/她在将公司战略转化为部门行动方面，做的最好的一点是什么？,,
中层,开放式问题,,,C38,为了提升整个组织的协同效率，您希望他/她在跨部门协作中做出哪些改变？,,
中层,开放式问题,,,C39,请分享一个他/她有效培养或激励下属，从而提升团队绩效的具体例子,,
